local_polo,campus_id,name,local_bloco_polo,capacidade,id,permite_reserva,informacoes_adicionais,responsavel_ids
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Indefinido Bloco C,"[3, 'C']",100,69,True,False,[]
"[2, 'PENEDO']","[1, 'CAMPUS ARAPIRACA']",Indefinido Penedo,"[5, 'Central']",100,70,True,False,[]
"[3, u'PALMEIRA DOS \xcdNDIOS']","[1, 'CAMPUS ARAPIRACA']",Indefinido Palmeira,"[6, 'Central']",100,71,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",CIRCULAÇAO,"[4, u'COORDENA\xc7\xd5ES']",0,73,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",REPROGRAFIA,"[4, u'COORDENA\xc7\xd5ES']",0,74,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA DE CURSOS,"[4, u'COORDENA\xc7\xd5ES']",0,75,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SEGURANÇA ,"[4, u'COORDENA\xc7\xd5ES']",0,76,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE REGISTRO E CONTROLE ACADÊMICO,"[4, u'COORDENA\xc7\xd5ES']",0,77,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",DEPARTAMENTO DE SERVIÇOS GERAIS E PATRIMONIO,"[4, u'COORDENA\xc7\xd5ES']",0,79,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA EXECUTIVA ,"[4, u'COORDENA\xc7\xd5ES']",0,80,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",ADMINISTRAÇAO,"[4, u'COORDENA\xc7\xd5ES']",0,81,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COPA ADMINISTRAÇÃO,"[8, 'ADMINSTRATIVO']",0,82,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE QUÍMICA,"[10, 'ADMNISTRATIVO']",0,83,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE FÍSICA,"[4, u'COORDENA\xc7\xd5ES']",0,84,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE ZOOTECNIA,"[4, u'COORDENA\xc7\xd5ES']",0,85,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DO TRONCO INICIAL,"[4, u'COORDENA\xc7\xd5ES']",0,86,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE AGRONOMIA,"[4, u'COORDENA\xc7\xd5ES']",0,87,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC PRIVATIVO 1,"[4, u'COORDENA\xc7\xd5ES']",0,88,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC PRIVATIVO 2,"[4, u'COORDENA\xc7\xd5ES']",0,89,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC FEMININO,"[4, u'COORDENA\xc7\xd5ES']",0,90,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC MASCULINO,"[4, u'COORDENA\xc7\xd5ES']",0,91,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA CRCA,"[4, u'COORDENA\xc7\xd5ES']",0,92,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",CRCA,"[4, u'COORDENA\xc7\xd5ES']",0,93,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",ARQUIVO CRCA,"[4, u'COORDENA\xc7\xd5ES']",0,94,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA DIREÇÃO ACADÊMICA,"[4, u'COORDENA\xc7\xd5ES']",0,95,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",DIREÇÃO ACADÊMICA,"[4, u'COORDENA\xc7\xd5ES']",0,96,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC DIREÇÃO ACADÊMICA,"[4, u'COORDENA\xc7\xd5ES']",0,97,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",ARQUIVO DIREÇÃO ACADÊMICA,"[4, u'COORDENA\xc7\xd5ES']",0,98,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA 1,"[4, u'COORDENA\xc7\xd5ES']",0,99,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 1,"[4, u'COORDENA\xc7\xd5ES']",0,100,False,False,[]
